brand,model,year,fuel,transmission,mileage,price
Mitsubishi,Pajero,2017,Petrol,Automatic,125000,53000
Nissan,Navara,2017,Petrol,Automatic,52000,48000
Maserati,Quattroporte,2021,Petrol,Automatic,16085,440000
Mazda,3 hatchback,2015,Petrol,Automatic,157000,32000
Kia,K5,2021,Petrol,Automatic,61000,59000
Kia,Sportage,2014,Petrol,Automatic,123000,32999
Toyota,Yaris sedan,2019,Petrol,Automatic,72000,38999
Nissan,Kicks,2020,Petrol,Automatic,56000,49500
Hyundai,Sonata,2016,Petrol,Automatic,99999,23000
Mercedes-Benz,A class sedan,2016,Petrol,Automatic,159000,63000
Audi,Q5,2015,Petrol,Automatic,153222,43000
Nissan,Pathfinder,2019,Petrol,Automatic,166500,58000
Hyundai,Accent,2021,Petrol,Automatic,58000,42000
Chevrolet,Impala,2016,Petrol,Automatic,190000,30500
Cadillac,Ct6 sedan,2020,Petrol,Automatic,31000,135000
Bestune,T77 pro,2023,Petrol,Automatic,1,89999
Lexus,Lx,2022,Petrol,Automatic,1,829000
Hyundai,Sonata,2022,Petrol,Automatic,1,109000
Lexus,Lx 570,2014,Petrol,Automatic,243000,120000
BMW,7 series,2011,Petrol,Automatic,120000,37000
Honda,Civic,2018,Petrol,Automatic,89100,53000
Mazda,3 sedan,2019,Petrol,Automatic,89000,38000
Nissan,Patrol,2016,Petrol,Automatic,146000,139000
Mercedes-Benz,G 63 amg,2019,Petrol,Automatic,159000,474000
Dodge,Charger,2019,Petrol,Automatic,71000,47000
Toyota,Yaris hatchback,2019,Petrol,Automatic,72000,36999
Land Rover,Range rover sport,2015,Petrol,Automatic,155000,92000
Mercedes-Benz,A250,2020,Petrol,Automatic,137000,104000
Lexus,Ls 460,2014,Petrol,Automatic,170000,79000
Ford,F 150 raptor,2017,Petrol,Automatic,180000,159000
Toyota,Yaris sedan,2020,Petrol,Automatic,64000,42999
Nissan,Juke,2014,Petrol,Automatic,134000,26999
Mitsubishi,Asx,2020,Petrol,Automatic,71286,59990
Lexus,Lx 570,2019,Petrol,Automatic,149000,280000
Kia,Sportage,2021,Petrol,Automatic,147000,45000
Chevrolet,C10 pickup truck,2005,Diesel,Manual,150000,21000
Mitsubishi,Pajero,2017,Petrol,Automatic,125000,53000
